signature,count
ABCDEBFDG,8928
ABCDBEDBF,5256
ABCDBCEBF,5256
ABCDBECBF,5256
ABCDEBCDF,5136
ABCDBCDBE,3984
ABCDEFCEG,1584
ABCDECFDG,1584
ABCDBECFG,1584
ABCDBEDFG,1584
ABCDECFEG,1584
ABCDEBDFG,1584
ABCDEFCBG,1320
ABCADCEAF,672
ABCDEBFDB,672
ABCDEBFDC,672
ABCDEBFDE,672
ABCDEBADF,672
ABCDBECFB,672
ABCDAECAF,672
ABCADBEAF,672
ABCDBEDFB,672
ABCDACEAF,672
ABCDABEDF,672
ABCDEBDFB,672
ABCDECDEF,572
ABCDBCDEF,572
ABCDBEDCB,360
ABCDBEDBE,360
ABCDBCEBC,360
ABCDBEDBC,360
ABCDBCEBA,360
ABCDBCABE,360
ABCDBCEBD,360
ABCDBEDBA,360
ABCDABCDE,360
ABCABDCBE,360
ABCDEBDCB,360
ABCDBACBE,360
ABCADCBAE,360
ABCDACDAE,360
ABCDBCDEB,360
ABCDEBDEB,360
ABCDABCAE,360
ABCABCDBE,360
ABCDBADBE,360
ABCDBECDB,360
ABCABDABE,360
ABCDBECBE,360
ABCDBECBD,360
ABCDEBCDE,360
ABCDBECBA,360
ABCDEBCDB,360
ABCDACBAE,360
ABCABCDAE,360
ABCADBCAE,360
ABCDEFCGE,264
ABCDAECFG,264
ABCDBCDBC,256
ABCABCABD,256
ABCDBCDBA,256
ABCDECDFC,132
ABCDABCEF,132
ABCABDAEF,132
ABCDBADEF,132
ABCDECFDC,132
ABCDECFDE,132
ABCDEFCEF,132
ABCDABDEF,132
ABCDEFCDE,132
ABCDEFCED,132
ABCADCAEF,132
ABCABDCEF,132
ABCDECFEC,132
ABCDECFED,132
ABCDEFCBA,132
ABCADBAEF,132
ABCDBACEF,132
ABCDECDEC,88
ABCABCADE,88
ABCDEBDAB,48
ABCDBECAB,48
ABCDBACEB,48
ABCADCEAB,48
ABCADCEAC,48
ABCADCEAD,48
ABCDEBFDA,48
ABCDABCEA,48
ABCDAECDA,48
ABCDBADEB,48
ABCDBEDAB,48
ABCDABCDA,48
ABCABDAEB,48
ABCDEBADB,48
ABCDEBADC,48
ABCDEBADE,48
ABCDAECAE,48
ABCDAECAD,48
ABCDAECBA,48
ABCDABDEB,48
ABCADBEAD,48
ABCADBEAC,48
ABCADBEAB,48
ABCDAECAB,48
ABCADCAEC,48
ABCDACEAD,48
ABCDABEDC,48
ABCDABEDB,48
ABCDACEAB,48
ABCDACEAC,48
ABCDABEDA,48
ABCABDCEB,48
ABCDEBCDA,48
ABCDAECFA,48
ABCADBAEB,48
ABCADBADB,24
ABCDBACDB,24
ABCDBCABD,24
ABCABDCAB,24
ABCDBCABC,24
ABCADBACB,24
ABCABDCBD,24
ABCABDCBA,24
ABCADCBAD,24
ABCADCBAC,24
ABCDABCDB,24
ABCDBACBA,24
ABCDBACBD,24
ABCDACDAB,24
ABCDACDAC,24
ABCDBADCB,24
ABCDABCAD,24
ABCDABCAB,24
ABCDABDCB,24
ABCABCDBA,24
ABCABCADC,24
ABCDBADBA,24
ABCDBADBC,24
ABCABCDBC,24
ABCABDACB,24
ABCADCADC,24
ABCABDABC,24
ABCABDABD,24
ABCDABDAB,24
ABCABCABC,24
ABCABCADB,24
ABCDACBAC,24
ABCDACBAD,24
ABCADBCAB,24
ABCADCABC,24
ABCDBCDAB,24
ABCABCDAC,24
ABCADBCAD,24
ABCABCDAB,24
