signature,count
ABCDECDEF,966
ABCDBCDEF,966
ABCDBECDF,960
ABCDBECBF,960
ABCDBCEBF,960
ABCDBCEDF,960
ABCDECBDF,960
ABCDECDBF,960
ABCDEBCEF,960
ABCDEBCDF,960
ABCDBEDBF,960
ABCDBEDCF,960
ABCDECBEF,960
ABCDEBDEF,960
ABCDEBDCF,960
ABCDBCDBE,852
ABCDEFDEF,844
ABCDEFDCB,844
ABCDECBAF,844
ABCABCDEF,844
ABCABDAEF,840
ABCDABDEF,840
ABCDACEDF,840
ABCDEFBEF,840
ABCDEFBDF,840
ABCDEFBDE,840
ABCDEFBEC,840
ABCDEFBED,840
ABCDBCAEF,840
ABCDBECAF,840
ABCADCEAF,840
ABCDEFDEC,840
ABCDEFDEB,840
ABCDBCEAF,840
ABCDEFBCE,840
ABCDEFBCD,840
ABCDEFBCF,840
ABCDEFBDC,840
ABCDECADF,840
ABCDACEBF,840
ABCDBCEFD,840
ABCDBCEFB,840
ABCDBCEFC,840
ABCDACEAF,840
ABCADCEDF,840
ABCDEFDCF,840
ABCDEFDCE,840
ABCDEFDBF,840
ABCDEFDBE,840
ABCDEFDBA,840
ABCDECAEF,840
ABCDEFDBC,840
ABCADCEBF,840
ABCDBACEF,840
ABCDEBACF,840
ABCDECDFB,840
ABCDECDFC,840
ABCDECDFE,840
ABCDEBCFB,840
ABCDEBCFD,840
ABCDEBCFE,840
ABCDEBAEF,840
ABCDEBADF,840
ABCDEABDF,840
ABCADCAEF,840
ABCDECFEC,840
ABCDECFED,840
ABCDEABCF,840
ABCDECFEB,840
ABCDECDAF,840
ABCADECBF,840
ABCADECAF,840
ABCDEABEF,840
ABCDECFBA,840
ABCDECFBC,840
ABCDECFBD,840
ABCDECFBE,840
ABCADEACF,840
ABCDBEADF,840
ABCDEADCF,840
ABCDAECDF,840
ABCADEABF,840
ABCDECFDB,840
ABCDECFDC,840
ABCDECFDE,840
ABCDBEACF,840
ABCDAECBF,840
ABCDEBCAF,840
ABCDBEABF,840
ABCDBECFB,840
ABCDEADEF,840
ABCDBECFE,840
ABCDBECFD,840
ABCDAECAF,840
ABCADECDF,840
ABCDEADBF,840
ABCADEADF,840
ABCDABCEF,840
ABCDBEDAF,840
ABCDBEFDE,840
ABCDBEFDC,840
ABCDBEFDB,840
ABCDBEFCE,840
ABCDBEFCD,840
ABCDBEFCB,840
ABCDAEDBF,840
ABCDACBEF,840
ABCDBEDFB,840
ABCDBEDFE,840
ABCDBEDFC,840
ABCDAEDAF,840
ABCDACDEF,840
ABCDABEAF,840
ABCDEFCDB,840
ABCADBEDF,840
ABCDEFCBF,840
ABCDEFCBE,840
ABCDEFCBD,840
ABCADBECF,840
ABCDBADEF,840
ABCDEFCEF,840
ABCDEFCDE,840
ABCDEFCDF,840
ABCDEFCEB,840
ABCDEFCED,840
ABCADBEAF,840
ABCDECBFD,840
ABCDECBFE,840
ABCDBEFBD,840
ABCDBEFBC,840
ABCDBEFBA,840
ABCDBEFBE,840
ABCDABEDF,840
ABCDECBFC,840
ABCDABECF,840
ABCDEFCBA,840
ABCDECABF,840
ABCADBCEF,840
ABCABDEAF,840
ABCDBAEDF,840
ABCADEBAF,840
ABCDEACEF,840
ABCABDEBF,840
ABCDBAECF,840
ABCDBAEBF,840
ABCADCBEF,840
ABCDEBDFE,840
ABCDEBDFB,840
ABCDEBDFC,840
ABCADBAEF,840
ABCDEBFEB,840
ABCDEBFEC,840
ABCDEBFED,840
ABCDEACBF,840
ABCDEBDAF,840
ABCDAEBCF,840
ABCDEBFDB,840
ABCDEBFDC,840
ABCDEBFDE,840
ABCDAEBAF,840
ABCADEBDF,840
ABCDEACDF,840
ABCABDECF,840
ABCADEBCF,840
ABCDAEDCF,840
ABCABDCEF,840
ABCDEBFCB,840
ABCDEBFCD,840
ABCDEBFCE,840
ABCDAEBDF,840
ABCDECDEC,788
ABCABCADE,788
ABCDBCABE,780
ABCABDACE,780
ABCDBECDE,780
ABCDBECDB,780
ABCDBECBE,780
ABCDBECBD,780
ABCDBCADE,780
ABCDBECBA,780
ABCDBCEBC,780
ABCDBACDE,780
ABCDBCEBA,780
ABCDBCEBD,780
ABCDBACBE,780
ABCDABDCE,780
ABCDABDAE,780
ABCDBCEDB,780
ABCDBCEDC,780
ABCDECDEB,780
ABCDECBDC,780
ABCDECBDE,780
ABCDECDBC,780
ABCDECDBE,780
ABCDECDBA,780
ABCDBADBE,780
ABCADCADE,780
ABCDEBCEB,780
ABCDEBCED,780
ABCDEBCDE,780
ABCDEBCDB,780
ABCADCABE,780
ABCDBEDCB,780
ABCDBEDBE,780
ABCDBEDBC,780
ABCDBEDBA,780
ABCDABCDE,780
ABCDACDBE,780
ABCDACDAE,780
ABCDACBDE,780
ABCDACBAE,780
ABCDBEDCE,780
ABCDBADCE,780
ABCDBCDEB,780
ABCDBCDEC,780
ABCDABCAE,780
ABCADBCDE,780
ABCDECBEC,780
ABCDECBED,780
ABCADBCAE,780
ABCDBCDAE,780
ABCADBADE,780
ABCADBACE,780
ABCADCBAE,780
ABCDEBDEB,780
ABCDEBDEC,780
ABCABCDBE,780
ABCADCBDE,780
ABCABCDAE,780
ABCABDCAE,780
ABCABDCBE,780
ABCDEBDCB,780
ABCDEBDCE,780
ABCABDABE,780
ABCDBECAB,720
ABCDACEFA,720
ABCDACEFB,720
ABCDACEFC,720
ABCDACEFD,720
ABCDEAFBA,720
ABCDEAFBE,720
ABCDEAFBD,720
ABCDEAFBC,720
ABCDACEDC,720
ABCABDAEB,720
ABCABDAEC,720
ABCABDAED,720
ABCDACEDA,720
ABCDACEDB,720
ABCDABDEC,720
ABCDABDEB,720
ABCDABDEA,720
ABCDAECAB,720
ABCDBECDA,720
ABCDEFBEA,720
ABCDBCAEB,720
ABCDAEBFE,720
ABCDAEBFD,720
ABCDAEBFA,720
ABCDEBFCA,720
ABCABDCEA,720
ABCABDCEB,720
ABCDAEBDE,720
ABCDAEBDA,720
ABCDAEBDC,720
ABCADEBFD,720
ABCADEBFE,720
ABCDEADFB,720
ABCDEBCAB,720
ABCDEADFA,720
ABCDEBCAD,720
ABCDBEACE,720
ABCDBEACD,720
ABCDEADFE,720
ABCADECFA,720
ABCDECFDA,720
ABCADECFB,720
ABCDEBCAE,720
ABCDAECBE,720
ABCDEADEB,720
ABCDEADEA,720
ABCDBECFA,720
ABCDBEABE,720
ABCDBEABD,720
ABCDBEABC,720
ABCDEADEC,720
ABCDAECAE,720
ABCDAECAD,720
ABCDAECBA,720
ABCDAECBD,720
ABCADECDA,720
ABCADECDB,720
ABCADECDE,720
ABCDEAFDC,720
ABCDEAFDB,720
ABCDEAFDA,720
ABCDEAFDE,720
ABCDEAFCB,720
ABCDEAFCA,720
ABCDEAFCE,720
ABCDEAFCD,720
ABCADEAFE,720
ABCDEADBC,720
ABCADEAFB,720
ABCDEADBA,720
ABCADEAFC,720
ABCADEAFD,720
ABCDEADBE,720
ABCDBEAFE,720
ABCDBEAFD,720
ABCDBEAFC,720
ABCDBEAFB,720
ABCDEAFED,720
ABCDEAFEC,720
ABCDEAFEB,720
ABCDEAFEA,720
ABCDAECFE,720
ABCDAECFB,720
ABCDAECFA,720
ABCDAECFD,720
ABCADEADC,720
ABCADEADE,720
ABCDBEDCA,720
ABCDAEFBC,720
ABCDAEFBE,720
ABCDAEFBD,720
ABCDACDEA,720
ABCDACDEB,720
ABCDAEFCB,720
ABCDACDEC,720
ABCDAEFCA,720
ABCDAEFAE,720
ABCDAEFAB,720
ABCDAEFAD,720
ABCDAEFAC,720
ABCDAEFBA,720
ABCDABCED,720
ABCDABCEB,720
ABCDABCEA,720
ABCDBEDAE,720
ABCDBEDAC,720
ABCDBEDAB,720
ABCDBEFDA,720
ABCDABEFD,720
ABCDEFACF,720
ABCDEFACE,720
ABCDAEDBE,720
ABCDACBEC,720
ABCDAEDCB,720
ABCDACBED,720
ABCDAEDCA,720
ABCDACBEA,720
ABCDEFADC,720
ABCDEFADB,720
ABCDEFADE,720
ABCDBEDFA,720
ABCDEFABE,720
ABCDEFABD,720
ABCDEFABF,720
ABCDAEDAC,720
ABCDAEDAE,720
ABCDAEDBA,720
ABCDAEDBC,720
ABCDEFACB,720
ABCDEFACD,720
ABCDAEFDE,720
ABCDAEDAB,720
ABCDEFADF,720
ABCDAEFCD,720
ABCDAEFCE,720
ABCDAEFDA,720
ABCDAEFDC,720
ABCDAEFDB,720
ABCDEFAED,720
ABCDEFAEC,720
ABCDEFAEF,720
ABCDEFAEB,720
ABCDABEAB,720
ABCDABEAD,720
ABCDABEAC,720
ABCADBEDC,720
ABCADBEDB,720
ABCADBEDA,720
ABCDEFCDA,720
ABCADBECB,720
ABCADBECA,720
ABCDBADEC,720
ABCDBADEB,720
ABCADBECD,720
ABCDBADEA,720
ABCDEFABC,720
ABCDEFCEA,720
ABCADBEAD,720
ABCADBEAC,720
ABCADBEAB,720
ABCDBEFCA,720
ABCDBCDEA,720
ABCADEFAC,720
ABCADEFAD,720
ABCADEFAE,720
ABCDABEFC,720
ABCDABEFB,720
ABCDABEFA,720
ABCADEFAB,720
ABCDEBAFD,720
ABCDEBAFE,720
ABCDABEDC,720
ABCDABEDB,720
ABCDBEFAC,720
ABCDBEFAB,720
ABCDECBFA,720
ABCDBEFAE,720
ABCDBEFAD,720
ABCDEFCAF,720
ABCDEFCAE,720
ABCDEFCAB,720
ABCDEFCAD,720
ABCDABECD,720
ABCDABECB,720
ABCDABECA,720
ABCADBEFD,720
ABCADBEFC,720
ABCADBEFB,720
ABCDABEDA,720
ABCADBEFA,720
ABCADEFDA,720
ABCADEFDB,720
ABCADEFDC,720
ABCADEFDE,720
ABCDECABE,720
ABCDECABC,720
ABCDECABD,720
ABCADEFCE,720
ABCADEFCA,720
ABCADEFCB,720
ABCADEFCD,720
ABCADEFBD,720
ABCADEFBE,720
ABCADBCED,720
ABCADBCEB,720
ABCADBCEA,720
