dataset,maxIterations,time( in ms )
twitter,3,297
twitter,4,508
twitter,5,3927
twitter,6,9230
twitter,7,15020
twitter,8,29838
twitter,9,162863
us_patents,3,250
us_patents,4,232
us_patents,5,1497
us_patents,6,2937
us_patents,7,9697
us_patents,8,12397
us_patents,9,22863
livejournal,3,3974
livejournal,4,6307
livejournal,5,23686
livejournal,6,30082
livejournal,7,41862
livejournal,8,43862
livejournal,9,69862
mel_data,3,403
mel_data,4,697
mel_data,5,1086
mel_data,6,2038
mel_data,7,8083
mel_data,8,14070
mel_data,9,22370
